Number,Question,Response A,Response B,Response C,Answer to A,Answer to B,Answer to C,Next Number
1,Which Planet would you like to go to?,Planet City,Planet Peopled but only some,Planet Empty,Very good,"Oh, OK",Really?  Why?,2
2,What do you consider yourself as being?,Adventurer,Good at building,Good at using things other have built,,,,3
3,Are you skilled with a gun?,Yes,No,What's a gun?,,,I see…,4
4,What are you skilled with?,A computer,A spaceship,A tractor,,,,5
5,Do you ever play video games?,Yes,No,"I used to, befor I took an arrow to the knee.",,,,6
6,Have you ever wanted to go where no one has gone before?,Yes,No,Not if my shirt is red,,,,7
7,Are you skilled with…,Your brain,Endurance,Aliens,,,,8
8,Do you like Aliens?,Yes,No,Didn't you cover this?,,,I don't write the questions.,9
9,What are your skills?,Command,Worshipping,This is the third time you asked me this.,,,,10
10,Can you drive?,Yes,No,What do you think?,,,They pay me not to think.,11
11,What are your skills?,Driving,Following orders,Stop asking me this question!,,Excellent,Do you WANT your planet of choice?,12
12,What is your mental state?,Depressed the world is going to end,Excited to explore new locations,Tired of being asked questions.,See the secretary for a prozac bottle on the way out.,Sigh... another wanabe hero.  We needed a hero like 5 weeks ago.,I'm tired of asking them.  You can go.,13
,,,,,,,,
