Number,Scenario,Response A,Response B,Response C,A Next Number,B Next Number,C Next Number,Question Read,Picture to display
1,"As you going down the street, you see a mob of people in front of you who seem to be stopped.  While you are wondering why anyone would stop, you are accosted by an odd looking man, dressed in a brown robe and hood with a cross around his neck.",I run,I punch the guy in the face,I wonder what on earth he wants,2,3,4,,
2,He grabs your bag as you try to avoid him,I drop the bag and run anyhow,I punch the guy in the face,I stop,5,3,4,,
3,"The man falls down to the ground, bleeding from the nose.  You would be arrested if there were any police nearby, but there are not.  You have added to the impression that the world is ending and has become lawless.",I run,I cheer,I kick the guy in the nuts and run,18,18,18,,
4,"The man gets a bit too close to you and says ""Do you realize, good citizen, that this planet was designed for us by God?""","I say ""I'm not religious""","I say ""Please leave me alone""","I say ""Go away""",9,9,9,,
5,"You run towards the stopped crowd ahead, and the man goes after some other poor slob",I cheer,I stay very quiet,I go back after my bag,8,8,6,,
6,"You try to pull the suitcase away from the brown man, but he screams that you are a robber.  Passers-by support the man in brown.  ",I complain that it's my bag!,"I tell the passers by that the man doesn't know what is in the bag, so it must be mine","I beg the passers-by for help, I need my belongings for the spaceship",7,7,7,,
7,"The passers-by question the man, and when they realize he thinks they should all stay on the planet, they make him give you your bag back.",I cheer,I stay very quiet,I thank the passers-by,18,18,18,,
8,"Another person comes up to you and gives you your bag back, because he noticed the man dropping it & had seen the man steal it from you.","I say ""Thank you so much!""","I say ""You are a wonderful person!""","I say ""Awesome!""",18,18,18,,
9,"The man ignores you and continues. ""How can we leave God's planet?  How can we abandon him?  We must stay, even though it costs us our lives!""","I say ""What makes you think God didn't create the other planets?""","I say ""I don't believe in a God like that""","I say ""God is with us always, everywhere, it doesn't matter where we are, so it doesn't matter what planet we are on""",10,10,10,,
10,"As the man goes on and on, ignoring anything you say, you realize that there is no convincing him.  You decide that while he may be fine with dying in an exploding planet, you are not, and wish to live.",I run,I punch the guy in the face,I call him an idiot and say he should go to hell,11,12,13,,
11,The man is so distracted and so dumb he doesn't notice you runing.,I cheer,I stay quiet,I laugh,15,18,15,,
12,The man falls and trys to knock you down.,I kick him in the balls,I leave him to die in the volcano to come,I laugh,18,18,17,,
13,The man continues by saying that God will take us all in.,I stick my tongue out at him and leave,I point at a guy and say he doesn't want to stay,I run,18,15,18,,
15,The man comes back over to you and says you must stay.,I stick my tongue out at him and leave,I knock him out,I hit him with my suitcase,18,18,18,,
17,The man pulls you down.,I kick his head,I pull him up,I shove a rock in his head,18,18,18,,
18,"You get away from the odd man and proceed up the road.  The large group of people in front of you appear to have stopped entirely in the next intersection, which is a problem because people are arriving every second!",I go straight ahead to see what is going on,I try to make it around to the right,I try to make it around to the left,19,20,21,,
19,"You go ahead into the crowd.  You have to push through the crowd to get towards the front.  You keep a tight grip on your suitcase. In front of you, you see a group of people seem to be blocking everyone",I go further forward to figure out the situation,I try to make it around the left,I try to make it around to the right,23,21,20,,
20,"You go around to the right, trying to skirt the crowd and go down the street.  Unfortunately, this side street is only running the other direction, and you cannot get through anywhere.",I go straight ahead into the crowd,I try to make it around the left,I jump up and down to try to see more,19,21,22,,
21,"You go to the left, but the road is blocked there as well and there is a huge crowd between you and any further progress",I try to make it around to the right,I try the straight-ahead direction,I push forward into the crowd,20,19,19,,
22,Jumping up and down doesn't help,I go straight ahead to see what is going on,I try to make it around the left,I try to make it around to the right,19,21,20,,
23,"The group of people blocking everyone are standing in a long line, connected hand-to-hand in a chain of people across the entire road.  No one is getting through.  They seem to be chanting something.",I listen to what they are chanting,I ask someone around what is going on,I yell at everyone to MOVE!,24,25,26,,
24,"You listen carefully and realize they are chanting ""One God, One Planet"" over & over & over again",I ask someone what is going on,I yell at everyone to MOVE!,I wait to see what will happen,25,26,27,,
25,"Talking isn't easy in all this crowd noise, but you find someone who says that this seems to be a group of religious people who don't want anyone to leave the planet, that we should all die with the planet if that is God's will.","I point out that this actually makes no sense, because God created all the planets","I point out that I don't care about them, we all need to get to the shuttle port!","I say ""Fine, they can stay--I'm going!""",28,28,28,,
26,Yelling doesn't help at all.  Many people are now yelling and no one can hear themselves think!,I listen to what they are chanting,I ask someone around what is going on,I wait to see what will happen,24,25,27,,
27,All that happens is more people come and the crowd gets larger and more annoyed,I wait more,I ask someone around what is going on,I listen to what they are chanting,27,25,24,,
28,"A 12 year old behind you says ""Great words, but we need action!!!""  He starts moving purposefully towards the line of people.",I go with him,I watch in awe,I wonder who that kid is?,29,29,29,,
29,"You quickly notice that this preteen is clearly the leader of a gang of middle school kids.  There are 14 boys and girls following him.    He makes his way, pushing and shoving to the front.",I try to stop them--middle schoolers could get hurt in this kind of situation!,I know better than to try to stop a marauding gang of middle schoolers.,I follow closely to observe what happens next--and help if I can!,30,31,31,,
30,"You say ""Kids!  Don't go into danger!""  The middle schoolers have a good laugh at this and reassure you that they're fine, and you should follow them to get through the blockage.",I follow them,I follow closely to observe what happens next--and help if I can!,I watch in awe,31,31,31,,
31,"The lead 12 year old marches up to one of the line of people.  He says ""Out of my way before I blow-torch your handcuffs!""  At this point you notice that the entire line of people are handcuffed together to create the blockage.  Apparently, all the adults don't want to simply knock down the people in the line to force their way through.",I tell the kids not to kill the people in the line,I watch in awe,I follow the middle schoolers,32,32,32,,
32,"The chanting man says ""NO!"" and keeps chanting ""One God, One Planet"".  The kid says ""I warned you!"" and he and his friends start shouting ""Ni!""  This scares the people in the line and they start trying to leave but can't, because they are all chained together!",I wonder how many of these people have SEEN the Holy Grail,I wonder how on earth this even works a little!,I run away in panic myself,33,33,34,,
33,"At this point, the Middle School gang pulls out the other things they acquired (looted?) at the Hardware Store: Heavy Duty Clippers.  While the people in line are distracted by their fear, they quickly cut through some handcuff chains and break the line.",I help the middle schoolers push a hole in the line,I watch in awe,I attempt to knock out the religious people with my suitcase,36,37,38,,
34,"You attempt to run away in panic but find yourself blocked in all directions by the crowd behind you or the line of people in front of you: apparently the cry of ""Ni!"" only worked on the religious people and the small number of others who were in the know.",I calm down and watch for further developments,I hit a middle schooler on the head,I watch in awe,33,35,33,,
35,"That's just too much bad behavior for the middle school gang to take.  They may be nice kids, but not THAT nice!  They hit you over the head with their math books.  Unfortunately, this knocks you out.  You wake up to a deserted city, realizing that everyone has left the planet without you.  You have a few good days of orgy with any remaining humans & food, and then die in the cataclysmic death of the planet.",GAME OVER!,GAME OVER!,GAME OVER!,-1,-1,-1,,
36,"You and middle schoolers push a hole in the line which expands as all the people blocked up behind push through.  You find yourself pushed over--but fortunately, two middle school girls spot the problem and haul you to the side of the street, out of the crush.",I talk to the girls,I thank the middle schoolers,I continue on my way,39,40,41,,
37,The middle schoolers push a hole in the line.  They use their extremely large math books to knock out any religious people who seem to try to close it--this is quickly unnecessary because the crowd pushes forward to expand the gap.,"Wow, those are some impressive math books!",I thank the middle schoolers,I continue on my way,40,40,41,,
38,"While the middle schoolers push a hole in the line, your attempt fails: your suitcase does not seem to be heavy enough to damage people.  Fortunately, one middle schooler offers you their math book, and you use it to knock out anyone trying to reform the line.","Wow, those are some impressive math books!",I thank the middle schoolers,I continue on my way,40,40,41,,
39,"You thank the girls for their help, somewhat embarrased because you think you shouldn't have needed it.",I thank the other middle schoolers,I talk to the middle schoolers,I continue on my way,40,40,41,,
40,"You talk to the middle schoolers.  They show off their math books--not standard issue anymore!  They have metal reinforced covers, and the middle has been hollowed out and contains knives, switchblades, shurikens, and maybe even explosives. ",I ask why the math books are like this,I run away in terror,I ask them if they are all going to the same planet,42,41,43,,
41,"You continue on your way to the shuttleport, leaving the middle schoolers behind you.  Pity you didn't make friends with those interesting kids!",,,,0,1,,,
42,"Yeah, well, our moms, they're always asking if we did our math homework.  But the textbook is online now, so we didn't need these ever.  One day we got bored and started hollowing them out & realized the potential! We figured we'd look all innocent carrying them. ",I ask them if they are all going to the same planet,I look at them in awe,I continue on my way,43,44,41,,
43,"Yes, we're all going to Shotgun--Shokugaki.  We talked to our families and some of them are coming too.  We traded tickets when we needed to, lots of people didn't seem to want to go to the best planet!",I look at them in awe,I ask where their parents are,I keep talking to the middle schoolers,44,45,46,,
44,"You notice two of them seem to have become bored and are having a knife throwing contest.   One of the mis-throws, breaking a window--and calls to his leader ""Sorry, boss, but look at it this way, no one is ever going to use that store again anyhow!""",I ask them if they are all going to the same planet,I ask where their parents are,I keep talking to the middle schoolers,43,45,46,,
45,"""Our parents?  They were in that crowd, we'll catch them up in a bit.  ",I'm impressed with their independence,I hope the kids find their families again--the families could use the protection,"I think to myself, ""These kids are insane!""",46,46,46,,
46,"""Didja hear about the city planet?  We heard that the stinky gas there makes you go crazy after three weeks!"" says one kid.  Another says ""Well, you have no worries!  It won't affect you, you're already crazy!""  ""Takes one to know one!""",I decide that it's time to move on,"I laugh, and tell them I don't believe it.","I say, ""Glad I'm not going there!""",47,48,48,,
47,"You walk up the street, with the leader middle schooler calling to you ""Thanks for your help, you're a pretty cool person!""",,,,0,2,,,
48,The middle schoolers say it's time they caught up to their parents.  You thank them again & you all go your separate ways,,,,0,2,,,
